Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
420,42.5,1.7,B,5,4,2,0.2
420,42.5,1.7,B,5,5,1,0.083333333
420,42.5,1.7,B,5,6,2,0.181818182
420,42.5,1.5,B,6,4,3,0.230769231
420,42.5,1.5,B,6,5,8,1
420,42.5,1.5,B,6,6,3,0.333333333
420,42.5,1.7,C,1,7,0,0
420,42.5,1.7,C,1,8,0,0
420,42.5,1.7,C,1,9,0,0
420,42.5,1.2,C,2,7,0,0
420,42.5,1.2,C,2,8,6,0.666666667
420,42.5,1.2,C,2,9,2,0.222222222
420,42.5,2.4,C,3,4,0,0
420,42.5,2.4,C,3,5,0,0
420,42.5,2.4,C,3,6,0,0
420,42.5,1.5,C,4,7,9,1
420,42.5,1.5,C,4,8,6,0.375
420,42.5,1.5,C,4,9,9,0.6
420,42.5,1.7,C,5,10,1,0.1
420,42.5,1.7,C,5,11,1,0.111111111
420,42.5,1.7,C,5,12,0,0
420,42.5,2.3,C,6,7,1,0.058823529
420,42.5,2.3,C,6,8,0,0
420,42.5,2.3,C,6,9,0,0
420,42.5,2.3,D,1,10,0,0
420,42.5,2.3,D,1,11,0,0
420,42.5,2.3,D,1,12,0,0
420,42.5,1.5,D,2,10,1,0.111111111
420,42.5,1.5,D,2,11,4,0.25
420,42.5,1.5,D,2,12,2,0.285714286
420,42.5,2.4,D,3,7,0,0
420,42.5,2.4,D,3,8,0,0
420,42.5,2.4,D,3,9,0,0
420,42.5,2.5,D,4,10,0,0
420,42.5,2.5,D,4,11,0,0
420,42.5,2.5,D,4,12,0,0
420,42.5,1.2,D,5,10,7,0.35
420,42.5,1.2,D,5,11,6,0.545454545
420,42.5,1.2,D,5,12,7,0.636363636
420,42.5,2.4,D,6,10,0,0
420,42.5,2.4,D,6,11,0,0
420,42.5,2.4,D,6,12,0,0
480,45,2.4,A,1,1,0,0
480,45,2.4,A,1,2,0,0
480,45,2.4,A,1,3,0,0
480,45,2.5,A,2,1,0,0
480,45,2.5,A,2,2,0,0
480,45,2.5,A,2,3,0,0
480,45,1.2,A,3,1,1,0.2
480,45,1.2,A,3,2,1,0.166666667
480,45,1.2,A,3,3,2,0.25
480,45,2.3,A,4,1,0,0
480,45,2.3,A,4,2,0,0
480,45,2.3,A,4,3,0,0
480,45,2.5,A,5,4,0,0
480,45,2.5,A,5,5,0,0
480,45,2.5,A,5,6,0,0
480,45,1.7,A,6,1,0,0
480,45,1.7,A,6,2,0,0
480,45,1.7,A,6,3,0,0
